"Synthetic/composite Extraterrestrial Spectrum by Chris Gueymard, May 2003"	
"Reference: C. Gueymard, ""THE SUN�S TOTAL AND SPECTRAL IRRADIANCE FOR SOLAR ENERGY APPLICATIONS AND SOLAR RADIATION MODELS"", submitted to Solar Energy, 2003."	
"1st column: wavelength (nm) in vacuum below 280 nm, in air above 280 nm"	
2nd column: irradiance (W/m2 nm)	
Number of wavelengths: 2460	
"Resolution: variable, approximately equal to spectral step"	
Total irradiance (solar constant)=1366.1 W/m2	
Wavelength (nm)	Irradiance W/(m2 nm)
265.5	2.761E-01
266.5	2.617E-01
267.5	2.701E-01
268.5	2.623E-01
269.5	2.421E-01
270.5	2.975E-01
271.5	2.451E-01
272.5	1.956E-01
273.5	2.249E-01
274.5	1.265E-01
275.5	1.850E-01
276.5	2.680E-01
277.5	2.625E-01
278.5	1.709E-01
279.5	7.821E-02
280	7.846E-02
280.5	1.023E-01
281	1.716E-01
281.5	2.410E-01
282	2.916E-01
282.5	3.142E-01
283	3.429E-01
283.5	3.223E-01
284	3.211E-01
284.5	2.514E-01
285	1.185E-01
285.5	1.377E-01
286	3.006E-01
286.5	3.581E-01
287	3.778E-01
287.5	3.782E-01
288	2.504E-01
288.5	3.588E-01
289	4.201E-01
289.5	4.911E-01
290	6.177E-01
290.5	6.459E-01
291	6.097E-01
291.5	6.020E-01
292	5.728E-01
292.5	4.965E-01
293	5.672E-01
293.5	5.760E-01
294	5.039E-01
294.5	5.434E-01
295	5.160E-01
295.5	5.821E-01
296	6.210E-01
296.5	4.926E-01
297	4.241E-01
297.5	5.976E-01
298	5.577E-01
298.5	3.788E-01
299	5.767E-01
299.5	5.214E-01
300	4.166E-01
300.5	4.391E-01
301	4.939E-01
301.5	5.295E-01
302	3.743E-01
302.5	5.437E-01
303	6.767E-01
303.5	6.886E-01
304	5.771E-01
304.5	6.481E-01
305	6.729E-01
305.5	6.124E-01
306	5.422E-01
306.5	5.857E-01
307	6.442E-01
307.5	6.515E-01
308	6.563E-01
308.5	6.802E-01
309	5.619E-01
309.5	5.133E-01
310	4.648E-01
310.5	7.144E-01
311	8.236E-01
311.5	7.643E-01
312	6.417E-01
312.5	6.965E-01
313	7.110E-01
313.5	7.252E-01
314	7.931E-01
314.5	5.927E-01
315	7.536E-01
315.5	6.800E-01
316	5.180E-01
316.5	6.628E-01
317	8.224E-01
317.5	8.798E-01
318	6.342E-01
318.5	6.820E-01
319	7.530E-01
319.5	6.829E-01
320	8.363E-01
320.5	9.076E-01
321	7.151E-01
321.5	6.749E-01
322	8.146E-01
322.5	7.013E-01
323	6.399E-01
323.5	6.829E-01
324	7.812E-01
324.5	8.264E-01
325	7.840E-01
325.5	9.411E-01
326	1.052E+00
326.5	9.968E-01
327	1.009E+00
327.5	9.959E-01
328	9.529E-01
328.5	9.132E-01
329	1.024E+00
329.5	1.139E+00
330	1.162E+00
330.5	9.725E-01
331	1.005E+00
331.5	9.815E-01
332	1.006E+00
332.5	9.721E-01
333	9.790E-01
333.5	9.164E-01
334	9.417E-01
334.5	1.040E+00
335	9.537E-01
335.5	1.072E+00
336	7.396E-01
336.5	9.049E-01
337	7.526E-01
337.5	9.392E-01
338	8.864E-01
338.5	9.904E-01
339	9.808E-01
339.5	9.380E-01
340	1.133E+00
340.5	1.016E+00
341	9.640E-01
341.5	8.880E-01
342	1.060E+00
342.5	9.903E-01
343	1.084E+00
343.5	1.017E+00
344	7.664E-01
344.5	7.515E-01
345	9.981E-01
345.5	1.018E+00
346	8.640E-01
346.5	9.766E-01
347	1.044E+00
347.5	8.414E-01
348	9.597E-01
348.5	9.591E-01
349	8.876E-01
349.5	8.760E-01
350	1.081E+00
350.5	1.138E+00
351	1.014E+00
351.5	9.808E-01
352	1.053E+00
352.5	8.210E-01
353	1.032E+00
353.5	1.102E+00
354	1.143E+00
354.5	1.158E+00
355	1.152E+00
355.5	1.038E+00
356	1.084E+00
356.5	9.246E-01
357	7.635E-01
357.5	9.338E-01
358	7.391E-01
358.5	6.309E-01
359	8.815E-01
359.5	1.122E+00
360	1.188E+00
360.5	9.484E-01
361	8.627E-01
361.5	9.897E-01
362	8.526E-01
362.5	1.176E+00
363	1.053E+00
363.5	9.672E-01
364	1.180E+00
364.5	1.007E+00
365	1.024E+00
365.5	1.283E+00
366	1.356E+00
366.5	1.271E+00
367	1.236E+00
367.5	1.281E+00
368	1.119E+00
368.5	1.127E+00
369	1.215E+00
369.5	1.293E+00
370	1.376E+00
370.5	1.066E+00
371	1.137E+00
371.5	1.421E+00
372	9.422E-01
372.5	1.128E+00
373	1.145E+00
373.5	7.436E-01
374	1.079E+00
374.5	8.919E-01
375	8.660E-01
375.5	1.292E+00
376	1.070E+00
376.5	1.108E+00
377	1.171E+00
377.5	1.368E+00
378	1.482E+00
378.5	1.400E+00
379	1.155E+00
379.5	1.055E+00
380	1.096E+00
380.5	1.325E+00
381	1.325E+00
381.5	1.048E+00
382	9.288E-01
382.5	7.899E-01
383	7.300E-01
383.5	7.020E-01
384	7.734E-01
384.5	1.136E+00
385	1.125E+00
385.5	1.046E+00
386	8.946E-01
386.5	1.173E+00
387	9.740E-01
387.5	1.093E+00
388	1.008E+00
388.5	9.949E-01
389	1.073E+00
